m,scenario,d,d_se_U,d_se_L
37,S,1.1444710367031226,1.1239273769962779,1.1653902028375067
38,S,0.9802569581407361,0.9621898421409482,0.9986633218297581
39,S,0.8396050866882616,0.8237269696138817,0.8557892694993818
40,S,0.7191346062259678,0.7051894446936736,0.7333555341237754
41,S,0.6159497960066467,0.6037099321155835,0.6284378159410375
42,S,0.5275704268936486,0.5168337173471481,0.5385301809668829
43,S,0.45187214467352943,0.442459328854856,0.46148520737560705
44,S,0.3870354074509508,0.3787877050583257,0.39546269485610097
45,S,0.3315017497459353,0.3242786763581162,0.3388857118784344
46,S,0.283936322023828,0.27761370956953274,0.29040293107076015
47,S,0.24319580522940376,0.2376640135777708,0.24885635309623486
48,S,0.20830092909428718,0.2034632347137292,0.21325364812267708
49,S,0.1784129336466748,0.17418408137177896,0.18274445426773664
50,S,0.15281340813417318,0.14911831243624304,0.15660006691375153
51,S,0.13088702275266126,0.12765960545138358,0.13419603377655603
52,S,0.11210673810778424,0.1092888901285739,0.11499724001572033
53,S,0.0960211368923644,0.09356179241901331,0.09854512714774047
54,S,0.08224357327422747,0.08009788543336888,0.08444674048904846
55,S,0.07044287918081409,0.06857148719602024,0.07236534352970486
56,S,0.06033540408971697,0.05870378263837533,0.062012375064391355
57,S,0.05167819698745263,0.05025607926808415,0.05314055697874513
58,S,0.04426316661280341,0.043024033373769345,0.04553798807220351
59,S,0.03791207961586755,0.03683270710142251,0.03902308284976342
60,S,0.03247227640473704,0.03153233683679448,0.03344023439693905
1,G,275.23836863726666,275.0531225900359,275.4237394462078
2,G,228.4785789616515,228.17113265071387,228.78643953723784
3,G,189.66273235376065,189.2800390152548,190.04619943572143
4,G,157.44124550919884,157.01781708057052,157.86581579317522
5,G,130.69381359145189,130.25459530236304,131.13451292391596
6,G,108.49045849347772,108.05308539397465,108.92960197489514
7,G,90.05919454549337,89.63575708062382,90.48463232020018
8,G,74.75918744200555,74.35760781954157,75.16293585657984
9,G,62.05847315418385,61.683573840644705,62.435651024015094
10,G,51.51546213923431,51.16979140840958,51.86346800277817
11,G,42.763585768947756,42.44805204614876,43.081464982892385
12,G,35.49855115102208,35.21290732126042,35.78651209696895
13,G,29.467761207638762,29.210971581631714,29.726808235863373
14,G,24.461532159332034,24.23204800893314,24.693189587667035
15,G,20.30580305594862,20.101767209840965,20.51190989542031
16,G,16.856083873293713,16.6754805375787,17.03864322849482
17,G,13.992431757594376,13.83319427871168,14.153502260301513
18,G,11.615280747453841,11.47536729279568,11.756900097382713
19,G,9.641979977422228,9.519424931898588,9.766112821950614
20,G,8.003920000417587,7.896867152212546,8.112424096578039
21,G,6.644147314461829,6.550869539475016,6.73875327088381
22,G,5.515384153510684,5.434293232500181,5.597685119174465
23,G,4.578384692733247,4.508034049349106,4.64983320116685
24,G,3.8005705153486877,3.7396530000537127,3.862480353639858
25,G,3.1548978977375297,3.1022402243900453,3.208449386638235
26,G,2.618917529605551,2.573472568092647,2.665165003860393
27,G,2.173993976728642,2.1348317924114064,2.213874567379319
28,G,1.8046577478765662,1.7709560375334936,1.8390008097021033
29,G,1.4980674380117809,1.469101827143829,1.527604150621936
30,G,1.243563247087602,1.218697772714484,1.2689360595634425
31,G,1.0322963507967913,1.0109743475758655,1.0540680467546735
32,G,0.8569212369085913,0.8386567649007237,0.875583477051992
33,G,0.7113403100748736,0.6957102037259826,0.7273215687040814
34,G,0.5904918853019318,0.577128460444415,0.6041647406175918
35,G,0.4901741988595144,0.4787586240234717,0.5018619679544142
36,G,0.4068993176844605,0.39715563481368776,0.4168820487961851
